match,N,alpha,dataset,C,seed,mode,n,acc_mean,acc_min,acc_max,note
fedauxfdp,20,0.04,cifar10,10,44,current,1,0.948,0.948,0.948,agg adapter + agg head
fedauxfdp,20,0.04,cifar10,10,44,local,19,0.18,0.0925,0.4195,own adapter + own head
fedauxfdp,20,0.04,cifar10,10,44,B_personal,19,0.9093,0.806,0.9475,own adapter + agg head
fedauxfdp,20,0.04,cifar10,10,44,A_headonly,1,0.951,0.951,0.951,r=0, head only, federated
fedauxfdp,20,0.04,cifar10,10,44,sel_perclient,19,0.9093,0.806,0.9475,per-client vote (biased), 19/19 chose B
fedauxfdp,20,0.04,cifar10,10,44,sel_federated,19,0.9093,0.806,0.9475,federation picked B (B=0.9910 A=0.9559)
fedauxfdp,20,0.04,cifar10,10,44,sel_fed_balanced,19,0.9093,0.806,0.9475,federation picked B (B=0.9390 A=0.9331)
fedauxfdp,20,0.04,cifar10,10,44,sel_globalprior,19,0.951,0.951,0.951,picked A (E_B=0.3306 E_A=0.9571; true B=0.9093 A=0.9510)
fedauxfdp,20,0.04,cifar10,10,44,sel_gp_rarefill,19,0.951,0.951,0.951,picked A (E_B=0.6995 E_A=0.9571; true B=0.9093 A=0.9510)
fedauxfdp,20,0.16,cifar10,10,42,current,1,0.954,0.954,0.954,agg adapter + agg head
fedauxfdp,20,0.16,cifar10,10,42,local,20,0.3509,0.209,0.567,own adapter + own head
fedauxfdp,20,0.16,cifar10,10,42,B_personal,20,0.9297,0.875,0.953,own adapter + agg head
fedauxfdp,20,0.16,cifar10,10,42,A_headonly,1,0.95,0.95,0.95,r=0, head only, federated
fedauxfdp,20,0.16,cifar10,10,42,sel_perclient,20,0.9303,0.875,0.953,per-client vote (biased), 19/20 chose B
fedauxfdp,20,0.16,cifar10,10,42,sel_federated,20,0.9297,0.875,0.953,federation picked B (B=0.9760 A=0.9491)
fedauxfdp,20,0.16,cifar10,10,42,sel_fed_balanced,20,0.95,0.95,0.95,federation picked A (B=0.9464 A=0.9655)
fedauxfdp,20,0.16,cifar10,10,42,sel_globalprior,20,0.95,0.95,0.95,picked A (E_B=0.6489 E_A=0.9512; true B=0.9297 A=0.9500)
fedauxfdp,20,0.16,cifar10,10,42,sel_gp_rarefill,20,0.95,0.95,0.95,picked A (E_B=0.9401 E_A=0.9512; true B=0.9297 A=0.9500)
fedauxfdp,20,0.16,cifar10,10,43,current,1,0.963,0.963,0.963,agg adapter + agg head
fedauxfdp,20,0.16,cifar10,10,43,local,20,0.4075,0.209,0.6005,own adapter + own head
fedauxfdp,20,0.16,cifar10,10,43,B_personal,20,0.9422,0.9255,0.9605,own adapter + agg head
fedauxfdp,20,0.16,cifar10,10,43,A_headonly,1,0.952,0.952,0.952,r=0, head only, federated
fedauxfdp,20,0.16,cifar10,10,43,sel_perclient,20,0.9423,0.9255,0.9605,per-client vote (biased), 19/20 chose B
fedauxfdp,20,0.16,cifar10,10,43,sel_federated,20,0.9422,0.9255,0.9605,federation picked B (B=0.9880 A=0.9579)
fedauxfdp,20,0.16,cifar10,10,43,sel_fed_balanced,20,0.952,0.952,0.952,federation picked A (B=0.9471 A=0.9509)
fedauxfdp,20,0.16,cifar10,10,43,sel_globalprior,20,0.952,0.952,0.952,picked A (E_B=0.6165 E_A=0.9585; true B=0.9422 A=0.9520)
fedauxfdp,20,0.16,cifar10,10,43,sel_gp_rarefill,20,0.952,0.952,0.952,picked A (E_B=0.8386 E_A=0.9585; true B=0.9422 A=0.9520)
fedauxfdp,20,0.16,cifar10,10,44,current,1,0.9605,0.9605,0.9605,agg adapter + agg head
fedauxfdp,20,0.16,cifar10,10,44,local,20,0.4372,0.237,0.6395,own adapter + own head
fedauxfdp,20,0.16,cifar10,10,44,B_personal,20,0.9426,0.9055,0.959,own adapter + agg head
fedauxfdp,20,0.16,cifar10,10,44,A_headonly,1,0.9545,0.9545,0.9545,r=0, head only, federated
fedauxfdp,20,0.16,cifar10,10,44,sel_perclient,20,0.9448,0.9055,0.959,per-client vote (biased), 18/20 chose B
fedauxfdp,20,0.16,cifar10,10,44,sel_federated,20,0.9426,0.9055,0.959,federation picked B (B=0.9811 A=0.9512)
fedauxfdp,20,0.16,cifar10,10,44,sel_fed_balanced,20,0.9426,0.9055,0.959,federation picked B (B=0.9667 A=0.9553)
fedauxfdp,20,0.16,cifar10,10,44,sel_globalprior,20,0.9545,0.9545,0.9545,picked A (E_B=0.6857 E_A=0.9506; true B=0.9426 A=0.9545)
fedauxfdp,20,0.16,cifar10,10,44,sel_gp_rarefill,20,0.9545,0.9545,0.9545,picked A (E_B=0.8948 E_A=0.9506; true B=0.9426 A=0.9545)
