match,N,alpha,maxtest,dataset,C,seed,mode,n,acc_mean,acc_min,acc_max,note
peers,5,0.1,10000,cifar10,10,42,A_headonly,1,0.9426,0.9426,0.9426,"r=0, head only, federated"
peers,5,0.1,10000,cifar10,10,42,sel_perclient,5,0.9301,0.9021,0.9480,"per-client vote (biased), 5/5 chose B"
peers,5,0.1,10000,cifar10,10,42,sel_federated,5,0.9301,0.9021,0.9480,"federation picked B (B=0.9800 A=0.9339)"
peers,5,0.1,10000,cifar10,10,42,sel_fed_balanced,5,0.9301,0.9021,0.9480,"federation picked B (B=0.8816 A=0.8757)"
peers,5,0.1,10000,cifar10,10,42,sel_globalprior,5,0.9426,0.9426,0.9426,"picked A (E_B=0.6229 E_A=0.9358; true B=0.9301 A=0.9426)"
peers,5,0.1,10000,cifar10,10,42,sel_gp_rarefill,5,0.9426,0.9426,0.9426,"picked A (E_B=0.7233 E_A=0.9358; true B=0.9301 A=0.9426)"
peers,5,0.1,10000,cifar10,10,43,current,1,0.9636,0.9636,0.9636,"agg adapter + agg head"
peers,5,0.1,10000,cifar10,10,43,local,5,0.3358,0.1971,0.5937,"own adapter + own head"
peers,5,0.1,10000,cifar10,10,43,B_personal,5,0.9316,0.9042,0.9559,"own adapter + agg head"
peers,5,0.1,10000,cifar10,10,43,A_headonly,1,0.9519,0.9519,0.9519,"r=0, head only, federated"
peers,5,0.1,10000,cifar10,10,43,sel_perclient,5,0.9316,0.9042,0.9559,"per-client vote (biased), 5/5 chose B"
peers,5,0.1,10000,cifar10,10,43,sel_federated,5,0.9316,0.9042,0.9559,"federation picked B (B=0.9800 A=0.9600)"
peers,5,0.1,10000,cifar10,10,43,sel_fed_balanced,5,0.9519,0.9519,0.9519,"federation picked A (B=0.9548 A=0.9792)"
peers,5,0.1,10000,cifar10,10,43,sel_globalprior,5,0.9519,0.9519,0.9519,"picked A (E_B=0.6061 E_A=0.9610; true B=0.9316 A=0.9519)"
peers,5,0.1,10000,cifar10,10,43,sel_gp_rarefill,5,0.9519,0.9519,0.9519,"picked A (E_B=0.8214 E_A=0.9610; true B=0.9316 A=0.9519)"
peers,5,0.1,10000,cifar10,10,44,current,1,0.9672,0.9672,0.9672,"agg adapter + agg head"
peers,5,0.1,10000,cifar10,10,44,local,5,0.4517,0.2147,0.5899,"own adapter + own head"
peers,5,0.1,10000,cifar10,10,44,B_personal,5,0.9429,0.9177,0.9595,"own adapter + agg head"
peers,5,0.1,10000,cifar10,10,44,A_headonly,1,0.9534,0.9534,0.9534,"r=0, head only, federated"
peers,5,0.1,10000,cifar10,10,44,sel_perclient,5,0.9429,0.9177,0.9595,"per-client vote (biased), 5/5 chose B"
peers,5,0.1,10000,cifar10,10,44,sel_federated,5,0.9429,0.9177,0.9595,"federation picked B (B=0.9810 A=0.9480)"
peers,5,0.1,10000,cifar10,10,44,sel_fed_balanced,5,0.9429,0.9177,0.9595,"federation picked B (B=0.9699 A=0.9594)"
peers,5,0.1,10000,cifar10,10,44,sel_globalprior,5,0.9534,0.9534,0.9534,"picked A (E_B=0.7800 E_A=0.9481; true B=0.9429 A=0.9534)"
peers,5,0.1,10000,cifar10,10,44,sel_gp_rarefill,5,0.9534,0.9534,0.9534,"picked A (E_B=0.8621 E_A=0.9481; true B=0.9429 A=0.9534)"
peers,5,0.3,10000,cifar10,10,42,current,1,0.9671,0.9671,0.9671,"agg adapter + agg head"
peers,5,0.3,10000,cifar10,10,42,local,5,0.5972,0.4671,0.7108,"own adapter + own head"
peers,5,0.3,10000,cifar10,10,42,B_personal,5,0.9547,0.9407,0.9625,"own adapter + agg head"
peers,5,0.3,10000,cifar10,10,42,A_headonly,1,0.9492,0.9492,0.9492,"r=0, head only, federated"
peers,5,0.3,10000,cifar10,10,42,sel_perclient,5,0.9547,0.9407,0.9625,"per-client vote (biased), 5/5 chose B"
peers,5,0.3,10000,cifar10,10,42,sel_federated,5,0.9547,0.9407,0.9625,"federation picked B (B=0.9800 A=0.9540)"
peers,5,0.3,10000,cifar10,10,42,sel_fed_balanced,5,0.9492,0.9492,0.9492,"federation picked A (B=0.9491 A=0.9587)"
peers,5,0.3,10000,cifar10,10,42,sel_globalprior,5,0.9492,0.9492,0.9492,"picked A (E_B=0.8670 E_A=0.9553; true B=0.9547 A=0.9492)"
peers,5,0.3,10000,cifar10,10,42,sel_gp_rarefill,5,0.9492,0.9492,0.9492,"picked A (E_B=0.9212 E_A=0.9553; true B=0.9547 A=0.9492)"
peers,5,0.3,10000,cifar10,10,43,current,1,0.9670,0.9670,0.9670,"agg adapter + agg head"
peers,5,0.3,10000,cifar10,10,43,local,5,0.5164,0.4491,0.5742,"own adapter + own head"
peers,5,0.3,10000,cifar10,10,43,B_personal,5,0.9471,0.9252,0.9602,"own adapter + agg head"
peers,5,0.3,10000,cifar10,10,43,A_headonly,1,0.9512,0.9512,0.9512,"r=0, head only, federated"
peers,5,0.3,10000,cifar10,10,43,sel_perclient,5,0.9471,0.9252,0.9602,"per-client vote (biased), 5/5 chose B"
peers,5,0.3,10000,cifar10,10,43,sel_federated,5,0.9471,0.9252,0.9602,"federation picked B (B=0.9800 A=0.9540)"
peers,5,0.3,10000,cifar10,10,43,sel_fed_balanced,5,0.9512,0.9512,0.9512,"federation picked A (B=0.9556 A=0.9778)"
peers,5,0.3,10000,cifar10,10,43,sel_globalprior,5,0.9512,0.9512,0.9512,"picked A (E_B=0.8784 E_A=0.9551; true B=0.9471 A=0.9512)"
peers,5,0.3,10000,cifar10,10,43,sel_gp_rarefill,5,0.9512,0.9512,0.9512,"picked A (E_B=0.9045 E_A=0.9551; true B=0.9471 A=0.9512)"
peers,5,0.3,10000,cifar10,10,44,current,1,0.9646,0.9646,0.9646,"agg adapter + agg head"
peers,5,0.3,10000,cifar10,10,44,local,5,0.5973,0.4804,0.6757,"own adapter + own head"
peers,5,0.3,10000,cifar10,10,44,B_personal,5,0.9510,0.9283,0.9681,"own adapter + agg head"
peers,5,0.3,10000,cifar10,10,44,A_headonly,1,0.9545,0.9545,0.9545,"r=0, head only, federated"
peers,5,0.3,10000,cifar10,10,44,sel_perclient,5,0.9510,0.9283,0.9681,"per-client vote (biased), 5/5 chose B"
peers,5,0.3,10000,cifar10,10,44,sel_federated,5,0.9510,0.9283,0.9681,"federation picked B (B=0.9760 A=0.9600)"
peers,5,0.3,10000,cifar10,10,44,sel_fed_balanced,5,0.9510,0.9283,0.9681,"federation picked B (B=0.9590 A=0.9524)"
peers,5,0.3,10000,cifar10,10,44,sel_globalprior,5,0.9545,0.9545,0.9545,"picked A (E_B=0.8735 E_A=0.9605; true B=0.9510 A=0.9545)"
peers,5,0.3,10000,cifar10,10,44,sel_gp_rarefill,5,0.9545,0.9545,0.9545,"picked A (E_B=0.9318 E_A=0.9605; true B=0.9510 A=0.9545)"
