section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
A,mnist_mlp,44,0.3,500.0,warmup_only_labelled,0.8191,17.9,,,
A,mnist_mlp,44,0.3,500.0,labelled_probe_warmup,0.8923,28.9,,,
A,mnist_mlp,44,0.3,500.0,raw_union_K20,0.9379,29.6,,,
A,mnist_mlp,44,0.3,500.0,dp_avg_eps2_K20,0.7742,29.3,,,
A,mnist_mlp,44,0.3,500.0,dp_avg_eps8_K20,0.7946,29.2,,,
A,mnist_mlp,44,1.0,25.0,no_phase0,0.8544,28.6,,,
A,mnist_mlp,44,1.0,25.0,warmup_only_labelled,0.2285,18.4,,,
A,mnist_mlp,44,1.0,25.0,labelled_probe_warmup,0.8562,29.1,,,
A,mnist_mlp,44,1.0,25.0,raw_union_K20,0.9448,29.3,,,
A,mnist_mlp,44,1.0,25.0,dp_avg_eps2_K20,0.8669,30.6,,,
A,mnist_mlp,44,1.0,25.0,dp_avg_eps8_K20,0.8681,29.8,,,
A,mnist_mlp,44,1.0,100.0,no_phase0,0.8472,29.2,,,
A,mnist_mlp,44,1.0,100.0,warmup_only_labelled,0.3203,18.6,,,
A,mnist_mlp,44,1.0,100.0,labelled_probe_warmup,0.8701,28.4,,,
A,mnist_mlp,44,1.0,100.0,raw_union_K20,0.9466,30.3,,,
A,mnist_mlp,44,1.0,100.0,dp_avg_eps2_K20,0.8625,29.6,,,
A,mnist_mlp,44,1.0,100.0,dp_avg_eps8_K20,0.8607,30.1,,,
A,mnist_mlp,44,1.0,500.0,no_phase0,0.8558,28.9,,,
A,mnist_mlp,44,1.0,500.0,warmup_only_labelled,0.8191,18.4,,,
A,mnist_mlp,44,1.0,500.0,labelled_probe_warmup,0.9104,29.6,,,
A,mnist_mlp,44,1.0,500.0,raw_union_K20,0.9451,29.2,,,
A,mnist_mlp,44,1.0,500.0,dp_avg_eps2_K20,0.878,29.2,,,
A,mnist_mlp,44,1.0,500.0,dp_avg_eps8_K20,0.8776,29.1,,,
