section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
B,cifar10_vit_b32,44,0.05,,dp_avg_eps8_K20,0.8303,10.7,vit_b32,,
B,cifar10_vit_b32,44,0.1,,no_phase0,0.6976,10.2,vit_b32,,
B,cifar10_vit_b32,44,0.1,,labelled_probe_warmup,0.8604,9.7,vit_b32,,
B,cifar10_vit_b32,44,0.1,,raw_union_K20,0.9485,10.2,vit_b32,,
B,cifar10_vit_b32,44,0.1,,dp_avg_eps2_K20,0.7731,10.1,vit_b32,,
B,cifar10_vit_b32,44,0.1,,dp_avg_eps8_K20,0.8523,10.3,vit_b32,,
B,cifar10_vit_b32,44,0.3,,no_phase0,0.9301,10.3,vit_b32,,
B,cifar10_vit_b32,44,0.3,,labelled_probe_warmup,0.9426,10.1,vit_b32,,
B,cifar10_vit_b32,44,0.3,,raw_union_K20,0.961,9.8,vit_b32,,
B,cifar10_vit_b32,44,0.3,,dp_avg_eps2_K20,0.9381,10.8,vit_b32,,
B,cifar10_vit_b32,44,0.3,,dp_avg_eps8_K20,0.9423,10.0,vit_b32,,
B,cifar10_vit_b32,44,1.0,,no_phase0,0.9619,10.0,vit_b32,,
B,cifar10_vit_b32,44,1.0,,labelled_probe_warmup,0.9621,10.0,vit_b32,,
B,cifar10_vit_b32,44,1.0,,raw_union_K20,0.966,10.3,vit_b32,,
B,cifar10_vit_b32,44,1.0,,dp_avg_eps2_K20,0.9609,10.4,vit_b32,,
B,cifar10_vit_b32,44,1.0,,dp_avg_eps8_K20,0.9624,10.3,vit_b32,,
