section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,cifar10_vit_b32,44,0.05,,dp_avg_epsinf_K20,0.8438,10.3,vit_b32,inf,20.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps0.5_K1,0.3453,10.4,vit_b32,0.5,1.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps0.5_K5,0.5685,10.3,vit_b32,0.5,5.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps0.5_K20,0.718,10.2,vit_b32,0.5,20.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps2.0_K1,0.4803,10.3,vit_b32,2.0,1.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps2.0_K5,0.7418,10.2,vit_b32,2.0,5.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps2.0_K20,0.7731,10.4,vit_b32,2.0,20.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps8.0_K1,0.6722,10.6,vit_b32,8.0,1.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps8.0_K5,0.7776,10.4,vit_b32,8.0,5.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps8.0_K20,0.8523,10.1,vit_b32,8.0,20.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps32.0_K1,0.7536,10.3,vit_b32,32.0,1.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps32.0_K5,0.8505,10.2,vit_b32,32.0,5.0
D,cifar10_vit_b32,44,0.1,,dp_avg_eps32.0_K20,0.8656,10.7,vit_b32,32.0,20.0
D,cifar10_vit_b32,44,0.1,,dp_avg_epsinf_K1,0.8569,10.2,vit_b32,inf,1.0
D,cifar10_vit_b32,44,0.1,,dp_avg_epsinf_K5,0.8661,10.1,vit_b32,inf,5.0
D,cifar10_vit_b32,44,0.1,,dp_avg_epsinf_K20,0.8688,10.2,vit_b32,inf,20.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps0.5_K1,0.6903,10.2,vit_b32,0.5,1.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps0.5_K5,0.9053,10.2,vit_b32,0.5,5.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps0.5_K20,0.9587,10.5,vit_b32,0.5,20.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps2.0_K1,0.8711,10.0,vit_b32,2.0,1.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps2.0_K5,0.9587,10.4,vit_b32,2.0,5.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps2.0_K20,0.9609,10.4,vit_b32,2.0,20.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps8.0_K1,0.958,10.1,vit_b32,8.0,1.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps8.0_K5,0.9613,9.9,vit_b32,8.0,5.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps8.0_K20,0.9624,9.8,vit_b32,8.0,20.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps32.0_K1,0.9623,10.0,vit_b32,32.0,1.0
