task,C,N,alpha,K,seed,mode,n,acc_mean,acc_min,acc_max,note
dbpedia_14,14,10,0.1,100,42,B_personal,10,0.7098,0.485,0.8728,own adapter + agg head
dbpedia_14,14,10,0.1,100,42,A_headonly,1,0.601,0.601,0.601,"r=0, head only, federated"
dbpedia_14,14,10,0.1,100,42,sel_perclient,10,0.7098,0.485,0.8728,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,0.1,100,42,sel_federated,10,0.7098,0.485,0.8728,federation picked B (B=0.9780 A=0.6074)
dbpedia_14,14,10,0.1,100,42,sel_fed_balanced,10,0.7098,0.485,0.8728,federation picked B (B=0.8217 A=0.5631)
dbpedia_14,14,10,0.1,100,42,sel_globalprior,10,0.601,0.601,0.601,picked A (E_B=0.5113 E_A=0.6043; true B=0.7098 A=0.6010)
dbpedia_14,14,10,0.1,100,42,sel_gp_rarefill,10,0.7098,0.485,0.8728,picked B (E_B=0.6670 E_A=0.6043; true B=0.7098 A=0.6010)
dbpedia_14,14,10,0.1,400,42,current,1,0.923,0.923,0.923,agg adapter + agg head
dbpedia_14,14,10,0.1,400,42,local,10,0.486,0.197,0.828,own adapter + own head
dbpedia_14,14,10,0.1,400,42,B_personal,10,0.7705,0.5508,0.8878,own adapter + agg head
dbpedia_14,14,10,0.1,400,42,A_headonly,1,0.8706,0.8706,0.8706,"r=0, head only, federated"
dbpedia_14,14,10,0.1,400,42,sel_perclient,10,0.7705,0.5508,0.8878,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,0.1,400,42,sel_federated,10,0.7705,0.5508,0.8878,federation picked B (B=0.9880 A=0.8738)
dbpedia_14,14,10,0.1,400,42,sel_fed_balanced,10,0.7705,0.5508,0.8878,federation picked B (B=0.8865 A=0.8665)
dbpedia_14,14,10,0.1,400,42,sel_globalprior,10,0.8706,0.8706,0.8706,picked A (E_B=0.5519 E_A=0.8752; true B=0.7705 A=0.8706)
dbpedia_14,14,10,0.1,400,42,sel_gp_rarefill,10,0.8706,0.8706,0.8706,picked A (E_B=0.7614 E_A=0.8752; true B=0.7705 A=0.8706)
