task,C,seed,access,eps,queries,fidelity,task_acc
dbpedia_14,14,42,label,8.0,20000,0.7117,0.7996
dbpedia_14,14,42,label,8.0,50000,0.8947,0.7996
dbpedia_14,14,42,label,8.0,100000,0.9445,0.7996
dbpedia_14,14,42,label,4.0,1000,0.1979,0.6468
dbpedia_14,14,42,label,4.0,5000,0.3189,0.6468
dbpedia_14,14,42,label,4.0,20000,0.6315,0.6468
dbpedia_14,14,42,label,4.0,50000,0.7664,0.6468
dbpedia_14,14,42,label,4.0,100000,0.8246,0.6468
dbpedia_14,14,42,label,2.0,1000,0.112,0.295
dbpedia_14,14,42,label,2.0,5000,0.1506,0.295
dbpedia_14,14,42,label,2.0,20000,0.3174,0.295
dbpedia_14,14,42,label,2.0,50000,0.4531,0.295
dbpedia_14,14,42,label,2.0,100000,0.5666,0.295
dbpedia_14,14,42,label,1.0,1000,0.0854,0.1496
dbpedia_14,14,42,label,1.0,5000,0.0943,0.1496
dbpedia_14,14,42,label,1.0,20000,0.1384,0.1496
dbpedia_14,14,42,label,1.0,50000,0.2052,0.1496
dbpedia_14,14,42,label,1.0,100000,0.2646,0.1496
dbpedia_14,14,42,label,0.5,1000,0.0764,0.1016
dbpedia_14,14,42,label,0.5,5000,0.0786,0.1016
dbpedia_14,14,42,label,0.5,20000,0.0979,0.1016
dbpedia_14,14,42,label,0.5,50000,0.1188,0.1016
dbpedia_14,14,42,label,0.5,100000,0.1414,0.1016
dbpedia_14,14,42,probs,inf,1000,1.0,0.7972
dbpedia_14,14,42,probs,inf,5000,1.0,0.7972
dbpedia_14,14,42,probs,inf,20000,1.0,0.7972
dbpedia_14,14,42,probs,inf,50000,1.0,0.7972
dbpedia_14,14,42,probs,inf,100000,1.0,0.7972
dbpedia_14,14,42,probs,8.0,1000,0.0767,0.0848
dbpedia_14,14,42,probs,8.0,5000,0.1027,0.0848
dbpedia_14,14,42,probs,8.0,20000,0.1216,0.0848
dbpedia_14,14,42,probs,8.0,50000,0.1605,0.0848
dbpedia_14,14,42,probs,8.0,100000,0.2021,0.0848
dbpedia_14,14,42,probs,4.0,1000,0.0732,0.0772
dbpedia_14,14,42,probs,4.0,5000,0.0811,0.0772
dbpedia_14,14,42,probs,4.0,20000,0.0902,0.0772
dbpedia_14,14,42,probs,4.0,50000,0.1024,0.0772
dbpedia_14,14,42,probs,4.0,100000,0.1121,0.0772
dbpedia_14,14,42,probs,2.0,1000,0.0735,0.073
dbpedia_14,14,42,probs,2.0,5000,0.0738,0.073
dbpedia_14,14,42,probs,2.0,20000,0.0828,0.073
dbpedia_14,14,42,probs,2.0,50000,0.0829,0.073
dbpedia_14,14,42,probs,2.0,100000,0.0881,0.073
dbpedia_14,14,42,probs,1.0,1000,0.0707,0.0712
dbpedia_14,14,42,probs,1.0,5000,0.0698,0.0712
dbpedia_14,14,42,probs,1.0,20000,0.0735,0.0712
dbpedia_14,14,42,probs,1.0,50000,0.077,0.0712
dbpedia_14,14,42,probs,1.0,100000,0.0798,0.0712
dbpedia_14,14,42,probs,0.5,1000,0.0683,0.0702
dbpedia_14,14,42,probs,0.5,5000,0.0718,0.0702
dbpedia_14,14,42,probs,0.5,20000,0.073,0.0702
dbpedia_14,14,42,probs,0.5,50000,0.0752,0.0702
dbpedia_14,14,42,probs,0.5,100000,0.0721,0.0702
dbpedia_14,14,43,label,inf,1000,0.2601,0.7972
dbpedia_14,14,43,label,inf,5000,0.5262,0.7972
dbpedia_14,14,43,label,inf,20000,0.8107,0.7972
dbpedia_14,14,43,label,inf,50000,0.9183,0.7972
dbpedia_14,14,43,label,inf,100000,0.9562,0.7972
dbpedia_14,14,43,label,8.0,1000,0.2594,0.7928
dbpedia_14,14,43,label,8.0,5000,0.5192,0.7928
dbpedia_14,14,43,label,8.0,20000,0.7269,0.7928
dbpedia_14,14,43,label,8.0,50000,0.8986,0.7928
dbpedia_14,14,43,label,8.0,100000,0.9478,0.7928
dbpedia_14,14,43,label,4.0,1000,0.1919,0.6518
dbpedia_14,14,43,label,4.0,5000,0.3209,0.6518
dbpedia_14,14,43,label,4.0,20000,0.6245,0.6518
dbpedia_14,14,43,label,4.0,50000,0.7711,0.6518
dbpedia_14,14,43,label,4.0,100000,0.8366,0.6518
dbpedia_14,14,43,label,2.0,1000,0.115,0.298
dbpedia_14,14,43,label,2.0,5000,0.1581,0.298
dbpedia_14,14,43,label,2.0,20000,0.3295,0.298
dbpedia_14,14,43,label,2.0,50000,0.4599,0.298
dbpedia_14,14,43,label,2.0,100000,0.5736,0.298
