task,C,d,seed,arrangement,strategy,queries,fidelity,majority
dbpedia_14,14,768,42,B,boundary,500,0.1948,0.3118
dbpedia_14,14,768,42,B,boundary,1000,0.3723,0.3118
dbpedia_14,14,768,42,B,boundary,2000,0.4259,0.3118
dbpedia_14,14,768,42,B,boundary,5000,0.5581,0.3118
dbpedia_14,14,768,42,B,boundary,10000,0.6667,0.3118
dbpedia_14,14,768,42,B,boundary,20000,0.7736,0.3118
dbpedia_14,14,768,42,B,boundary,50000,0.8798,0.3118
dbpedia_14,14,768,42,B,boundary,100000,0.9217,0.3118
dbpedia_14,14,768,42,B,boundary,200000,0.9476,0.3118
dbpedia_14,14,768,43,A,disclosed,0,1.0,0.1573
dbpedia_14,14,768,43,A,logits,769,1.0,0.1573
dbpedia_14,14,768,43,A,random,200,0.2215,0.1573
dbpedia_14,14,768,43,A,random,500,0.2594,0.1573
dbpedia_14,14,768,43,A,random,1000,0.3233,0.1573
dbpedia_14,14,768,43,A,random,2000,0.4233,0.1573
dbpedia_14,14,768,43,A,random,5000,0.5646,0.1573
dbpedia_14,14,768,43,A,random,10000,0.6951,0.1573
dbpedia_14,14,768,43,A,random,20000,0.7967,0.1573
dbpedia_14,14,768,43,A,random,50000,0.8856,0.1573
dbpedia_14,14,768,43,A,random,100000,0.9426,0.1573
dbpedia_14,14,768,43,A,random,200000,0.971,0.1573
dbpedia_14,14,768,43,A,boundary,200,0.1129,0.1573
dbpedia_14,14,768,43,A,boundary,500,0.1857,0.1573
dbpedia_14,14,768,43,A,boundary,1000,0.2379,0.1573
dbpedia_14,14,768,43,A,boundary,2000,0.3016,0.1573
dbpedia_14,14,768,43,A,boundary,5000,0.4527,0.1573
dbpedia_14,14,768,43,A,boundary,10000,0.5804,0.1573
dbpedia_14,14,768,43,A,boundary,20000,0.7071,0.1573
dbpedia_14,14,768,43,A,boundary,50000,0.8658,0.1573
dbpedia_14,14,768,43,A,boundary,100000,0.9257,0.1573
dbpedia_14,14,768,43,A,boundary,200000,0.9667,0.1573
dbpedia_14,14,768,43,B,disclosed,0,1.0,0.2801
dbpedia_14,14,768,43,B,logits,769,1.0,0.2801
dbpedia_14,14,768,43,B,random,200,0.3066,0.2801
dbpedia_14,14,768,43,B,random,500,0.3494,0.2801
dbpedia_14,14,768,43,B,random,1000,0.4128,0.2801
dbpedia_14,14,768,43,B,random,2000,0.5178,0.2801
dbpedia_14,14,768,43,B,random,5000,0.6642,0.2801
dbpedia_14,14,768,43,B,random,10000,0.754,0.2801
dbpedia_14,14,768,43,B,random,20000,0.8372,0.2801
dbpedia_14,14,768,43,B,random,50000,0.911,0.2801
dbpedia_14,14,768,43,B,random,100000,0.9495,0.2801
dbpedia_14,14,768,43,B,random,200000,0.9708,0.2801
dbpedia_14,14,768,43,B,boundary,200,0.2316,0.2801
dbpedia_14,14,768,43,B,boundary,500,0.2887,0.2801
dbpedia_14,14,768,43,B,boundary,1000,0.2808,0.2801
dbpedia_14,14,768,43,B,boundary,2000,0.3882,0.2801
dbpedia_14,14,768,43,B,boundary,5000,0.5425,0.2801
dbpedia_14,14,768,43,B,boundary,10000,0.6677,0.2801
dbpedia_14,14,768,43,B,boundary,20000,0.7793,0.2801
dbpedia_14,14,768,43,B,boundary,50000,0.8991,0.2801
dbpedia_14,14,768,43,B,boundary,100000,0.9382,0.2801
dbpedia_14,14,768,43,B,boundary,200000,0.9566,0.2801
dbpedia_14,14,768,44,A,disclosed,0,1.0,0.2191
dbpedia_14,14,768,44,A,logits,769,1.0,0.2191
dbpedia_14,14,768,44,A,random,200,0.2516,0.2191
dbpedia_14,14,768,44,A,random,500,0.2848,0.2191
dbpedia_14,14,768,44,A,random,1000,0.3617,0.2191
dbpedia_14,14,768,44,A,random,2000,0.4342,0.2191
dbpedia_14,14,768,44,A,random,5000,0.5715,0.2191
dbpedia_14,14,768,44,A,random,10000,0.6886,0.2191
dbpedia_14,14,768,44,A,random,20000,0.7891,0.2191
dbpedia_14,14,768,44,A,random,50000,0.9028,0.2191
dbpedia_14,14,768,44,A,random,100000,0.9415,0.2191
dbpedia_14,14,768,44,A,random,200000,0.9654,0.2191
dbpedia_14,14,768,44,A,boundary,200,0.0688,0.2191
dbpedia_14,14,768,44,A,boundary,500,0.2116,0.2191
