section,setup,backbone,alpha,probe_size,method,acc_mean,acc_std,n_seeds
B,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps8_K20,0.7868,0.0396,3
B,cifar10_vit_b32,vit_b32,0.05,,labelled_probe_warmup,0.8189,0.0513,3
B,cifar10_vit_b32,vit_b32,0.05,,no_phase0,0.5297,0.0979,3
B,cifar10_vit_b32,vit_b32,0.05,,raw_union_K20,0.9397,0.0072,3
B,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps2_K20,0.8363,0.0551,3
B,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps8_K20,0.8765,0.0235,3
B,cifar10_vit_b32,vit_b32,0.1,,labelled_probe_warmup,0.8838,0.0249,3
B,cifar10_vit_b32,vit_b32,0.1,,no_phase0,0.7793,0.0751,3
B,cifar10_vit_b32,vit_b32,0.1,,raw_union_K20,0.9489,0.0003,3
B,cifar10_vit_b32,vit_b32,0.3,,dp_avg_eps2_K20,0.9366,0.0082,3
B,cifar10_vit_b32,vit_b32,0.3,,dp_avg_eps8_K20,0.9432,0.0046,3
B,cifar10_vit_b32,vit_b32,0.3,,labelled_probe_warmup,0.9439,0.0058,3
B,cifar10_vit_b32,vit_b32,0.3,,no_phase0,0.9313,0.0098,3
B,cifar10_vit_b32,vit_b32,0.3,,raw_union_K20,0.96,0.0017,3
B,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps2_K20,0.9621,0.0012,3
B,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps8_K20,0.9627,0.0006,3
B,cifar10_vit_b32,vit_b32,1.0,,labelled_probe_warmup,0.9625,0.0005,3
B,cifar10_vit_b32,vit_b32,1.0,,no_phase0,0.9623,0.0005,3
B,cifar10_vit_b32,vit_b32,1.0,,raw_union_K20,0.966,0.0012,3
C,ag_news_distilbert,distilbert,0.05,,dp_avg_eps2_K20,0.3788,0.1004,3
C,ag_news_distilbert,distilbert,0.05,,dp_avg_eps8_K20,0.3857,0.1012,3
C,ag_news_distilbert,distilbert,0.05,,labelled_probe_warmup,0.3837,0.1034,3
C,ag_news_distilbert,distilbert,0.05,,no_phase0,0.3524,0.1075,3
C,ag_news_distilbert,distilbert,0.05,,raw_union_K20,0.5313,0.1547,3
C,ag_news_distilbert,distilbert,0.1,,dp_avg_eps2_K20,0.5185,0.1606,3
C,ag_news_distilbert,distilbert,0.1,,dp_avg_eps8_K20,0.5207,0.1615,3
C,ag_news_distilbert,distilbert,0.1,,labelled_probe_warmup,0.517,0.1627,3
C,ag_news_distilbert,distilbert,0.1,,no_phase0,0.5038,0.1596,3
C,ag_news_distilbert,distilbert,0.1,,raw_union_K20,0.656,0.0567,3
C,ag_news_distilbert,distilbert,0.3,,dp_avg_eps2_K20,0.6647,0.0971,3
C,ag_news_distilbert,distilbert,0.3,,dp_avg_eps8_K20,0.6669,0.0977,3
C,ag_news_distilbert,distilbert,0.3,,labelled_probe_warmup,0.665,0.0986,3
C,ag_news_distilbert,distilbert,0.3,,no_phase0,0.6559,0.0942,3
C,ag_news_distilbert,distilbert,0.3,,raw_union_K20,0.7683,0.083,3
C,ag_news_distilbert,distilbert,1.0,,dp_avg_eps2_K20,0.8588,0.0019,3
C,ag_news_distilbert,distilbert,1.0,,dp_avg_eps8_K20,0.8587,0.0013,3
