backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,weight_avg,depth-1,0.8445,0.33494,0.573,0.9747,0.8132,-0.12131969418677543,0,10,"[-0.1015673981191223, -0.09027205276174777, -0.19620622568093382, -0.2958277851753218, -0.07642903018625558, -0.050392124144835626, -0.054294615042278616, 0.0, -0.11027253668763104, -0.23793517406962783]","[0.8966562173458725, 0.9089035449299258, 0.7991245136186771, 0.6993638112146767, 0.9216441875401413, 0.9491072918404806, 0.9403649310191367, 1.0, 0.8865828092243186, 0.758703481392557]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8372387727788874,9,"[0.810830017055145, 0.8233571893298633, 0.8499005964214712, 0.8551765409934171, 0.823051948051948, 0.9351777059773829, 0.85693359375, 0.8235002478929102, 0.7572211155378487, null]",23.31216812133789,17.568321466445923,0.15055274963378906,5.041072845458984,0.0016331672668457031,0.22829198837280273,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,agreement_gated,deep,0.831,0.33494,0.573,0.9747,0.8132,-0.13146009337591055,0,10,"[-0.10700104493207951, -0.1368507831821929, -0.25311284046692606, -0.344281698476106, -0.06486833654463708, -0.05022526280660777, -0.06542056074766356, 0.0, -0.10796645702306085, -0.18487394957983194]","[0.8912225705329153, 0.8623248145094806, 0.7422178988326849, 0.6509098979138925, 0.9332048811817598, 0.9492741531787084, 0.9292389853137517, 1.0, 0.8888888888888888, 0.8117647058823529]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8309604808446487,9,"[0.7927799886299034, 0.8287247885491217, 0.8946322067594433, 0.8481946937961301, 0.8131493506493507, 0.9212439418416801, 0.84521484375, 0.8125929598413485, 0.7221115537848606, null]",23.056938648223877,16.904781579971313,0.16831398010253906,5.442754507064819,0.001081705093383789,0.22384166717529297,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,consensus_proj,deep,0.8445,0.33494,0.573,0.9747,0.8132,-0.12131969418677543,0,10,"[-0.1015673981191223, -0.09027205276174777, -0.19620622568093382, -0.2958277851753218, -0.07642903018625558, -0.050392124144835626, -0.054294615042278616, 0.0, -0.11027253668763104, -0.23793517406962783]","[0.8966562173458725, 0.9089035449299258, 0.7991245136186771, 0.6993638112146767, 0.9216441875401413, 0.9491072918404806, 0.9403649310191367, 1.0, 0.8865828092243186, 0.758703481392557]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8372387727788874,9,"[0.810830017055145, 0.8233571893298633, 0.8499005964214712, 0.8551765409934171, 0.823051948051948, 0.9351777059773829, 0.85693359375, 0.8235002478929102, 0.7572211155378487, null]",22.957469940185547,16.67477798461914,0.15337228775024414,5.570490121841431,0.0010714530944824219,0.23475146293640137,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,coord_median,deep,0.8192,0.33494,0.573,0.9747,0.8132,-0.13061293683918315,0,10,"[-0.11462904911180782, -0.06306677658697446, -0.26215953307393003, -0.3819351975144253, -0.08263755084564328, -0.06807942599699657, -0.0522919448153093, 0.0, -0.1012578616352201, -0.18007202881152462]","[0.883594566353187, 0.9361088211046991, 0.7331712062256809, 0.6132563988755733, 0.9154356668807536, 0.9314199899883197, 0.942367601246106, 1.0, 0.8955974842767296, 0.8165666266506603]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.815047271371631,9,"[0.770892552586697, 0.794242029928432, 0.8966202783300199, 0.8607620187512468, 0.7988636363636363, 0.9182148626817448, 0.8116861979166666, 0.7876797223599405, 0.6964641434262948, null]",24.15844202041626,17.840961933135986,0.1592400074005127,5.603536367416382,0.0010113716125488281,0.22388458251953125,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,coord_trimmed_mean,deep,0.8175,0.33494,0.573,0.9747,0.8132,-0.13007711329376415,0,10,"[-0.10846394984326024, -0.07666941467436106, -0.27363813229571987, -0.39658233466489123, -0.0772853778634125, -0.06507592190889377, -0.050066755674232355, 0.0, -0.09140461215932916, -0.16158463385354138]","[0.8897596656217346, 0.9225061830173125, 0.721692607003891, 0.5986092617251073, 0.9207878398629844, 0.9344234940764224, 0.9445927903871829, 1.0, 0.9054507337526205, 0.8350540216086435]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8142141783953354,9,"[0.7703240477544059, 0.7963565387117761, 0.9040755467196819, 0.855376022341911, 0.7972402597402597, 0.9232633279483037, 0.8123372395833334, 0.7876797223599405, 0.6812749003984063, null]",24.342203617095947,18.132585525512695,0.157759428024292,5.469193696975708,0.0007865428924560547,0.2269296646118164,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,mag_weighted,depth-1,0.8455,0.33494,0.573,0.9747,0.8132,-0.12482090007881588,0,10,"[-0.11024033437826541, -0.10098928276999175, -0.19951361867704287, -0.2645361739902352, -0.08991650610147717, -0.05539796429167365, -0.05629728526924793, 0.0, -0.10985324947589103, -0.26146458583433374]","[0.8879832810867294, 0.8981863149216818, 0.795817120622568, 0.7306554223997633, 0.9081567116249197, 0.9441014516936426, 0.9383622607921673, 1.0, 0.8870020964360587, 0.7351740696278511]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8378300151215345,9,"[0.8160886867538374, 0.8287247885491217, 0.8300198807157058, 0.8400159585078795, 0.8305194805194805, 0.9365912762520194, 0.8678385416666666, 0.8257312840852752, 0.7649402390438247, null]",23.24089741706848,17.32875084877014,0.15093755722045898,5.2037482261657715,0.0007793903350830078,0.23225069046020508,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,poly_gate_d2_a,depth-2,0.8186,0.33494,0.573,0.9747,0.8132,-0.1414247756506196,0,10,"[-0.11880877742946716, -0.15952184666117064, -0.27412451361867707, -0.3447255511170292, -0.07407407407407407, -0.05856832971800441, -0.08655985758789497, 0.0, -0.11635220125786161, -0.18151260504201683]","[0.8794148380355277, 0.8396537510305029, 0.7212062256809338, 0.6504660452729694, 0.9239991436523228, 0.9409310862673118, 0.9080996884735203, 1.0, 0.8805031446540881, 0.8151260504201681]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8208127638836176,9,"[0.7809835133598636, 0.8227065712426805, 0.8926441351888668, 0.8314382605226411, 0.8035714285714286, 0.9109450726978998, 0.8385416666666666, 0.8032969757064948, 0.703187250996016, null]",22.81047248840332,16.70647430419922,0.15421843528747559,5.322155952453613,0.0014262199401855469,0.2956728935241699,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,poly_gate_d2_b,depth-2,0.823,0.33494,0.573,0.9747,0.8132,-0.13895750907227006,0,10,"[-0.11504702194357375, -0.15251442704039575, -0.2707198443579767, -0.34147063175025893, -0.07236137871976023, -0.05756716168863674, -0.08277703604806408, 0.0, -0.11488469601677154, -0.18223289315726288]","[0.8831765935214211, 0.8466611706512778, 0.7246108949416342, 0.6537209646397396, 0.9257118390066367, 0.9419322542966795, 0.9118825100133512, 1.0, 0.8819706498951781, 0.814405762304922]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8247440121499581,9,"[0.7848209209778283, 0.8257970071567989, 0.8941351888667992, 0.8372232196289647, 0.8084415584415584, 0.9143780290791599, 0.8414713541666666, 0.8067674764501735, 0.7096613545816733, null]",22.978087663650513,16.799534559249878,0.1675279140472412,5.3519556522369385,0.0013718605041503906,0.2817728519439697,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,second_moment,deep,0.8393,0.33494,0.573,0.9747,0.8132,-0.12602886369464023,0,10,"[-0.1037617554858935, -0.11788953009068426, -0.23326848249027243, -0.31091877496671105, -0.06786555341468636, -0.05623227098281325, -0.06920338228749445, 0.0, -0.11027253668763104, -0.19087635054021612]","[0.8944618599791013, 0.8812860676009893, 0.7620622568093385, 0.6842728214232875, 0.9302076643117105, 0.943267145002503, 0.9254561637739208, 1.0, 0.8865828092243186, 0.8057623049219688]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8383092610068734,9,"[0.8030130756111427, 0.8345803513337671, 0.889662027833002, 0.8535806902054658, 0.8232142857142857, 0.9236672051696284, 0.853515625, 0.8212692117005453, 0.7422808764940239, null]",24.178459644317627,18.011495351791382,0.16690373420715332,5.456098556518555,0.0010945796966552734,0.22618436813354492,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,43,300,4.0,raw_union_K20,raw_union,719,0.0,sign_majority,deep,0.8225,0.33494,0.573,0.9747,0.8132,-0.1346539837059953,0,10,"[-0.11086729362591441, -0.0956306677658697, -0.2317120622568094, -0.3563396952211866, -0.07129094412331405, -0.05623227098281325, -0.05607476635514019, 0.0, -0.11677148846960173, -0.25162064825930375]","[0.8873563218390804, 0.9035449299258038, 0.7636186770428015, 0.638851901168812, 0.9267822736030829, 0.943267145002503, 0.9385847797062751, 1.0, 0.880083857442348, 0.7450180072028811]","[0.9982236154649948, 0.9991755976916735, 0.9953307392996109, 0.9951915963899985, 0.9980732177263969, 0.9994994159853162, 0.9946595460614153, 1.0, 0.9968553459119497, 0.9966386554621849]",0.8153540156036361,9,"[0.7798465036952814, 0.7976577748861419, 0.8513916500994035, 0.84360662278077, 0.7964285714285714, 0.9291195476575121, 0.8313802083333334, 0.7966038671294001, 0.7121513944223108, null]",23.14348602294922,17.17338991165161,0.21045398712158203,5.212116718292236,0.00096893310546875,0.21699905395507812,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,weight_avg,depth-1,0.8435,0.32920999999999995,0.4505,0.9776,0.7815,-0.1559443008168851,0,10,"[-0.11078616893170479, -0.09844799629372247, -0.11880523548495348, -0.1839473042205415, -0.22651149588418962, -0.21702352630187682, -0.10095375202447365, -0.12243984331281477, -0.10961737331954502, -0.2709103123950286]","[0.885429210390504, 0.9015520037062775, 0.8799642018122833, 0.797267626250305, 0.7658245813227363, 0.7803330689928628, 0.8945474176714054, 0.8770005595970901, 0.889865563598759, 0.7235471951629157]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.8235974999172988,10,"[0.8057980563333882, 0.8366197183098592, 0.810358408822371, 0.9224464060529635, 0.8329145728643216, 0.822183536433723, 0.7816347469220246, 0.8164271047227926, 0.8231981981981982, 0.784394250513347]",23.111276865005493,17.157836437225342,0.15677142143249512,5.115779638290405,0.0014657974243164062,0.22939586639404297,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,agreement_gated,deep,0.8122,0.32920999999999995,0.4505,0.9776,0.7815,-0.18287863127049825,0,10,"[-0.06003784620677788, -0.11003011350474867, -0.07808479695715398, -0.20078067821419854, -0.2661557384804618, -0.23896378535553797, -0.29728270649631094, -0.1597090095131506, -0.11995863495346437, -0.29778300302317773]","[0.936177533115431, 0.8899698864952513, 0.9206846403400828, 0.780434252256648, 0.7261803387264641, 0.7583928099392017, 0.6982184631995682, 0.8397313933967543, 0.8795243019648397, 0.6966745045347665]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.7894641768256149,10,"[0.7805962773842859, 0.8084507042253521, 0.7304056715242221, 0.8165195460277428, 0.8248743718592965, 0.7510569510072121, 0.78984268125855, 0.8299794661190965, 0.7887887887887888, 0.7741273100616016]",22.871708393096924,17.026644706726074,0.15499377250671387,5.1378254890441895,0.0010128021240234375,0.22193264961242676,,f37ca08ce36f,success,
mlp_mnist,MNIST,10,0.05,44,300,4.0,raw_union_K20,raw_union,770,0.0,consensus_proj,deep,0.8435,0.32920999999999995,0.4505,0.9776,0.7815,-0.1559443008168851,0,10,"[-0.11078616893170479, -0.09844799629372247, -0.11880523548495348, -0.1839473042205415, -0.22651149588418962, -0.21702352630187682, -0.10095375202447365, -0.12243984331281477, -0.10961737331954502, -0.2709103123950286]","[0.885429210390504, 0.9015520037062775, 0.8799642018122833, 0.797267626250305, 0.7658245813227363, 0.7803330689928628, 0.8945474176714054, 0.8770005595970901, 0.889865563598759, 0.7235471951629157]","[0.9962153793222088, 1.0, 0.9987694372972368, 0.9812149304708465, 0.992336077206926, 0.9973565952947396, 0.9955011696958791, 0.9994404029099049, 0.999482936918304, 0.9944575075579443]",0.8235974999172988,10,"[0.8057980563333882, 0.8366197183098592, 0.810358408822371, 0.9224464060529635, 0.8329145728643216, 0.822183536433723, 0.7816347469220246, 0.8164271047227926, 0.8231981981981982, 0.784394250513347]",23.320842742919922,17.110817670822144,0.17057347297668457,5.499152183532715,0.0010085105895996094,0.23086261749267578,,f37ca08ce36f,success,
