backbone,N,alpha,method,seed,lambda,acc
vit_b32_cifar100,10,0.3,raw_union_K20,43,0.5,0.8449
vit_b32_cifar100,10,0.3,raw_union_K20,43,0.75,0.8426
vit_b32_cifar100,10,0.3,raw_union_K20,43,1.0,0.839
vit_b32_cifar100,10,0.3,raw_union_K20,43,1.25,0.8356
vit_b32_cifar100,10,0.3,raw_union_K20,43,1.5,0.8278
vit_b32_cifar100,10,0.3,raw_union_K20,43,1.75,0.8148
vit_b32_cifar100,10,0.3,raw_union_K20,43,2.0,0.8006
vit_b32_cifar100,10,0.3,raw_union_K20,44,0.0,0.8402
vit_b32_cifar100,10,0.3,raw_union_K20,44,0.25,0.8424
vit_b32_cifar100,10,0.3,raw_union_K20,44,0.5,0.842
vit_b32_cifar100,10,0.3,raw_union_K20,44,0.75,0.8411
vit_b32_cifar100,10,0.3,raw_union_K20,44,1.0,0.8384
vit_b32_cifar100,10,0.3,raw_union_K20,44,1.25,0.833
vit_b32_cifar100,10,0.3,raw_union_K20,44,1.5,0.8254
vit_b32_cifar100,10,0.3,raw_union_K20,44,1.75,0.8093
vit_b32_cifar100,10,0.3,raw_union_K20,44,2.0,0.7891
vit_b32_cifar100,10,1.0,raw_union_K20,42,0.0,0.8494
vit_b32_cifar100,10,1.0,raw_union_K20,42,0.25,0.8531
vit_b32_cifar100,10,1.0,raw_union_K20,42,0.5,0.855
vit_b32_cifar100,10,1.0,raw_union_K20,42,0.75,0.8566
vit_b32_cifar100,10,1.0,raw_union_K20,42,1.0,0.8577
vit_b32_cifar100,10,1.0,raw_union_K20,42,1.25,0.8559
vit_b32_cifar100,10,1.0,raw_union_K20,42,1.5,0.8514
vit_b32_cifar100,10,1.0,raw_union_K20,42,1.75,0.8454
vit_b32_cifar100,10,1.0,raw_union_K20,42,2.0,0.8366
vit_b32_cifar100,10,1.0,raw_union_K20,43,0.0,0.8515
vit_b32_cifar100,10,1.0,raw_union_K20,43,0.25,0.8554
vit_b32_cifar100,10,1.0,raw_union_K20,43,0.5,0.8577
vit_b32_cifar100,10,1.0,raw_union_K20,43,0.75,0.8593
vit_b32_cifar100,10,1.0,raw_union_K20,43,1.0,0.8598
vit_b32_cifar100,10,1.0,raw_union_K20,43,1.25,0.8587
vit_b32_cifar100,10,1.0,raw_union_K20,43,1.5,0.8564
vit_b32_cifar100,10,1.0,raw_union_K20,43,1.75,0.8495
vit_b32_cifar100,10,1.0,raw_union_K20,43,2.0,0.8436
vit_b32_cifar100,10,1.0,raw_union_K20,44,0.0,0.8521
vit_b32_cifar100,10,1.0,raw_union_K20,44,0.25,0.8554
vit_b32_cifar100,10,1.0,raw_union_K20,44,0.5,0.8561
vit_b32_cifar100,10,1.0,raw_union_K20,44,0.75,0.8565
vit_b32_cifar100,10,1.0,raw_union_K20,44,1.0,0.8544
vit_b32_cifar100,10,1.0,raw_union_K20,44,1.25,0.8528
vit_b32_cifar100,10,1.0,raw_union_K20,44,1.5,0.8493
vit_b32_cifar100,10,1.0,raw_union_K20,44,1.75,0.8433
vit_b32_cifar100,10,1.0,raw_union_K20,44,2.0,0.8331
