combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
poly_gate_d2_b,probe,10,0.1,123,depth-2,0.7846,0.7588,0.0245,-0.1147
sync_sgd,probe,10,0.1,123,deep(multi-round),0.7846,0.8917,0.1575,0.0182
centralized,probe,10,0.1,123,n/a(pooled),0.7846,0.8735,0.1392,0.0
weight_avg,probe,10,0.5,42,depth-1,0.7769,0.8723,0.0,0.0
mag_weighted,probe,10,0.5,42,depth-1,0.7769,0.8737,0.0015,0.0015
sign_majority,probe,10,0.5,42,deep,0.7769,0.8648,-0.0075,-0.0075
norm_normalized,probe,10,0.5,42,deep,0.7769,0.87,-0.0023,-0.0023
agreement_gated,probe,10,0.5,42,deep,0.7769,0.8505,-0.0218,-0.0218
second_moment,probe,10,0.5,42,deep,0.7769,0.808,-0.0642,-0.0642
coord_trimmed_mean,probe,10,0.5,42,deep,0.7769,0.8737,0.0015,0.0015
consensus_proj,probe,10,0.5,42,deep,0.7769,0.8723,0.0,0.0
poly_gate_d2_a,probe,10,0.5,42,depth-2,0.7769,0.8685,-0.0038,-0.0038
poly_gate_d2_b,probe,10,0.5,42,depth-2,0.7769,0.8708,-0.0015,-0.0015
sync_sgd,probe,10,0.5,42,deep(multi-round),0.7769,0.8907,0.0185,0.0185
centralized,probe,10,0.5,42,n/a(pooled),0.7769,0.8723,0.0,0.0
weight_avg,probe,10,0.5,123,depth-1,0.7846,0.8577,0.0,-0.0157
mag_weighted,probe,10,0.5,123,depth-1,0.7846,0.857,-0.0008,-0.0165
sign_majority,probe,10,0.5,123,deep,0.7846,0.8535,-0.0042,-0.02
norm_normalized,probe,10,0.5,123,deep,0.7846,0.858,0.0002,-0.0155
agreement_gated,probe,10,0.5,123,deep,0.7846,0.8355,-0.0222,-0.038
second_moment,probe,10,0.5,123,deep,0.7846,0.8025,-0.0552,-0.071
coord_trimmed_mean,probe,10,0.5,123,deep,0.7846,0.861,0.0033,-0.0125
consensus_proj,probe,10,0.5,123,deep,0.7846,0.8577,0.0,-0.0157
poly_gate_d2_a,probe,10,0.5,123,depth-2,0.7846,0.8568,-0.001,-0.0167
poly_gate_d2_b,probe,10,0.5,123,depth-2,0.7846,0.8537,-0.004,-0.0197
sync_sgd,probe,10,0.5,123,deep(multi-round),0.7846,0.89,0.0322,0.0165
centralized,probe,10,0.5,123,n/a(pooled),0.7846,0.8735,0.0157,0.0
weight_avg,probe,10,1.0,42,depth-1,0.7769,0.8808,0.0,0.0222
mag_weighted,probe,10,1.0,42,depth-1,0.7769,0.881,0.0002,0.0225
sign_majority,probe,10,1.0,42,deep,0.7769,0.8785,-0.0023,0.02
norm_normalized,probe,10,1.0,42,deep,0.7769,0.8802,-0.0005,0.0217
agreement_gated,probe,10,1.0,42,deep,0.7769,0.866,-0.0148,0.0075
second_moment,probe,10,1.0,42,deep,0.7769,0.8142,-0.0665,-0.0443
coord_trimmed_mean,probe,10,1.0,42,deep,0.7769,0.88,-0.0008,0.0215
consensus_proj,probe,10,1.0,42,deep,0.7769,0.8808,0.0,0.0222
poly_gate_d2_a,probe,10,1.0,42,depth-2,0.7769,0.8792,-0.0015,0.0207
poly_gate_d2_b,probe,10,1.0,42,depth-2,0.7769,0.8795,-0.0013,0.021
sync_sgd,probe,10,1.0,42,deep(multi-round),0.7769,0.8928,0.012,0.0343
centralized,probe,10,1.0,42,n/a(pooled),0.7769,0.8585,-0.0222,0.0
weight_avg,probe,10,1.0,123,depth-1,0.7846,0.878,0.0,0.0063
mag_weighted,probe,10,1.0,123,depth-1,0.7846,0.878,0.0,0.0063
sign_majority,probe,10,1.0,123,deep,0.7846,0.8763,-0.0017,0.0045
norm_normalized,probe,10,1.0,123,deep,0.7846,0.8783,0.0002,0.0065
agreement_gated,probe,10,1.0,123,deep,0.7846,0.8608,-0.0173,-0.011
second_moment,probe,10,1.0,123,deep,0.7846,0.8183,-0.0598,-0.0535
coord_trimmed_mean,probe,10,1.0,123,deep,0.7846,0.883,0.005,0.0113
